Sun Nov 16 22:59:38 2025    profile_python.prof

         5726277 function calls (5724126 primitive calls) in 9.959 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:1(<module>)
        1    0.000    0.000    0.102    0.102 /home/codespace/.local/lib/python3.12/site-packages/numpy/linalg/__init__.py:1(<module>)
        1    0.000    0.000    0.030    0.030 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_internal.py:1(<module>)
      369    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       18    0.000    0.000    0.001    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/arrayprint.py:564(wrapper)
        8    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:969(parse)
        1    0.000    0.000    1.236    1.236 /home/codespace/.local/lib/python3.12/site-packages/numpy/__config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/pickle.py:1129(_Unpickler)
       16    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:1541(__and__)
       36    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/getlimits.py:18(_fr0)
       66    0.000    0.000    0.004    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:494(__getitem__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/records.py:1(<module>)
       36    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/getlimits.py:93(_float_to_float)
        1    0.000    0.000    0.267    0.267 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/__init__.py:1(<module>)
        1    0.000    0.000    0.118    0.118 /home/codespace/.local/lib/python3.12/site-packages/numpy/matrixlib/defmatrix.py:1(<module>)
     16/7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_histograms_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/getlimits.py:1(<module>)
        8    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/re/_compiler.py:573(_code)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1681(path_hook_for_FileFinder)
      102    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:176(append)
