Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.76     0.00    50000     0.00     0.00  random_integer(int, int)
  0.00      6.76     0.00    50000     0.00     0.00  accept_or_reject(double, double)
  0.00      6.76     0.00    50000     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      6.76     0.00    50000     0.00     0.00  std::uniform_int_distribution<int>::param_type::param_type(int, int)
  0.00      6.76     0.00    50000     0.00     0.00  std::uniform_int_distribution<int>::uniform_int_distribution(int, int)
  0.00      6.76     0.00    50000     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      6.76     0.00    50000     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&, std::uniform_int_distribution<int>::param_type const&)
  0.00      6.76     0.00     1611     0.00     0.00  std::array<double, 3ul> const& std::forward<std::array<double, 3ul> const&>(std::remove_reference<std::array<double, 3ul> const&>::type&)
  0.00      6.76     0.00     1013     0.00     0.00  operator new(unsigned long, void*)
  0.00      6.76     0.00      800     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::push_back(std::array<double, 3ul> const&)
  0.00      6.76     0.00      239     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >* std::__addressof<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >&)
  0.00      6.76     0.00      157     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      6.76     0.00      128     0.00     0.00  std::remove_reference<std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl&>::type&& std::move<std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl&>(std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl&)
  0.00      6.76     0.00      126     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >&& std::forward<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >(std::remove_reference<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >::type&)
  0.00      6.76     0.00      107     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > const& std::forward<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > const&>(std::remove_reference<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > const&>::type&)
  0.00      6.76     0.00      107     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      6.76     0.00       64     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl::_Vector_impl(std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl&&)
  0.00      6.76     0.00       64     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl_data&&)
  0.00      6.76     0.00       64     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_base(std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >&&)
  0.00      6.76     0.00       64     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::vector(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >&&)
  0.00      6.76     0.00       63     0.00     0.00  void std::__relocate_object_a<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > >(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >*, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >&)
  0.00      6.76     0.00       63     0.00     0.00  std::remove_reference<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >&>::type&& std::move<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >&>(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >&)
  0.00      6.76     0.00       50     0.00     0.00  std::vector<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > >::push_back(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > const&)
  0.00      6.76     0.00       50     0.00     0.00  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00      6.76     0.00       50     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.00      6.76     0.00       50     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      6.76     0.00       50     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00      6.76     0.00       50     0.00     0.00  void std::_Destroy<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >*)
  0.00      6.76     0.00       44     0.00     0.00  __gnu_cxx::__normal_iterator<std::array<double, 3ul>*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >::base() const
  0.00      6.76     0.00       42     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >* std::__niter_base<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >*>(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >*)
  0.00      6.76     0.00       42     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      6.76     0.00       42     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      6.76     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >*, std::vector<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > > >::base() const
  0.00      6.76     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      6.76     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      6.76     0.00       28     0.00     0.00  std::vector<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > >::size() const
  0.00      6.76     0.00       28     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      6.76     0.00       28     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      6.76     0.00       22     0.00     0.00  __gnu_cxx::__normal_iterator<std::array<double, 3ul>*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >::__normal_iterator(std::array<double, 3ul>* const&)
